C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.10CEST06:15:14

Vmag < 6 & maintypes='*'
------------------------

Number of objects : 5056

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag G  ;     spec. type      
----;-----------------------------------;---;---------------------------------------;--------------------;----------;-----------;------------;-----------;---------;---------;---------;---------;---------;---------------------
1   ;HD 200253                          ;*  ;21 01 12.8647634688 +36 01 33.642578532;  -4.819 -5.156     ;5.387     ;-8.80      ;-0.000029   ;-8.80      ;     ~   ;7.000    ;5.997    ;     ~   ;5.763470 ;G5III                
2   ;* tau Cyg                          ;dS*;21 14 47.49252 +38 02 43.1441          ;  196.99 410.28     ;49.16     ;-20.90     ;-0.000070   ;-20.90     ;4.140    ;4.120    ;3.730    ;3.38     ;3.704540 ;F2IV                 
3   ;* 61 Cyg A                         ;BY*;21 06 53.9395895022 +38 44 57.902349973;4164.209 3249.614   ;285.9949  ;-65.82     ;-0.000220   ;-65.81     ;7.50     ;6.39     ;5.21     ;4.19     ;4.766713 ;K5V                  
4   ;* sig Cyg                          ;s*b;21 17 24.9522700076 +39 23 40.847039148;   0.195 -3.609     ;1.1711    ;-6.23      ;-0.000021   ;-6.23      ;3.98     ;4.37     ;4.24     ;4.06     ;4.179437 ;B9Iab                
5   ;V* V1334 Cyg                       ;cC*;21 19 22.1791528656 +38 14 14.868825648;    2.293 0.226     ;1.0831    ;-1.80      ;-0.000006   ;-1.80      ;     ~   ;6.364    ;5.882    ;     ~   ;5.724996 ;F1II+B7.0V           
6   ;* 74 Cyg                           ;*  ;21 36 56.9752120080 +40 24 48.692268180;  -1.228 11.238     ;15.2874   ;5.30       ;0.000018    ;5.30       ;     ~   ;5.220    ;5.035    ;     ~   ;4.979593 ;A3Vn                 
7   ;HD 206749                          ;*  ;21 43 06.4713509160 +41 09 17.902709244;-18.324 -13.938     ;5.7176    ;-27.48     ;-0.000092   ;-27.48     ;     ~   ;7.106    ;5.505    ;     ~   ;4.719647 ;M2IIIbCa1            
8   ;* 77 Cyg                           ;SB*;21 42 22.9588733 +41 04 37.273655      ;    23.48 -1.02     ;7.91      ;-24.5      ;-0.000082   ;-24.50     ;     ~   ;5.777    ;5.726    ;     ~   ;5.984918 ;A0V+A0V              
9   ;HD 211211                          ;PM*;22 14 44.3613363960 +42 57 14.038829388; 49.458 -21.212     ;12.1647   ;-21.05     ;-0.000070   ;-21.05     ;5.680    ;5.720    ;5.720    ;     ~   ;5.710130 ;A2Vnn                
10  ;* 6 Lac                            ;SB*;22 30 29.2606939494 +43 07 24.155257733;  -2.380 -5.541     ;2.8367    ;-8.70      ;-0.000029   ;-8.70      ;3.68     ;4.400    ;4.511    ;     ~   ;4.477451 ;B2IV                 
